"filename", "language", "Markdown", "YAML", "MS SQL", "PostCSS", "TypeScript", "JavaScript", "HTML", "XML", "pip requirements", "Ini", "JSON", "Python", "comment", "blank", "total"
"c:\Users\YASH\TradeWise\backend\app\routes\learner_payments.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 235, 19, 52, 306
"c:\Users\YASH\TradeWise\backend\app\routes\learner_profile.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 266, 20, 44, 330
"c:\Users\YASH\TradeWise\backend\app\routes\learner_ratings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 9, 21, 112
"c:\Users\YASH\TradeWise\backend\app\routes\learner_subscriptions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 14, 29, 150
"c:\Users\YASH\TradeWise\backend\app\routes\notifications.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 12, 18, 92
"c:\Users\YASH\TradeWise\backend\app\routes\pro_trader_profile.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 396, 68, 88, 552
"c:\Users\YASH\TradeWise\backend\app\routes\pro_traders_public.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 191, 10, 30, 231
"c:\Users\YASH\TradeWise\backend\app\routes\subscribers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 10, 22, 139
"c:\Users\YASH\TradeWise\backend\app\routes\trades.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 285, 22, 74, 381
"c:\Users\YASH\TradeWise\backend\app\routes\webhooks.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 23, 40, 191
"c:\Users\YASH\TradeWise\backend\app\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 3, 2, 38
"c:\Users\YASH\TradeWise\backend\app\services\cashfree.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 11, 18, 156
"c:\Users\YASH\TradeWise\backend\app\services\email_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 5, 28, 124
"c:\Users\YASH\TradeWise\backend\app\services\notification_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 7, 19, 141
"c:\Users\YASH\TradeWise\backend\app\services\supabase_storage.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 12, 12, 69
"c:\Users\YASH\TradeWise\backend\app\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 3, 11, 46
"c:\Users\YASH\TradeWise\backend\app\utils\accuracy.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 13, 18, 88
"c:\Users\YASH\TradeWise\backend\app\utils\encryption.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 10, 9, 51
"c:\Users\YASH\TradeWise\backend\app\utils\perf.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 3, 16, 63
"c:\Users\YASH\TradeWise\backend\app\utils\pro_trader_state.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 54, 19, 114
"c:\Users\YASH\TradeWise\backend\app\utils\response_cache.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 6, 26, 114
"c:\Users\YASH\TradeWise\backend\app\utils\validators.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 15, 60
"c:\Users\YASH\TradeWise\backend\pytest.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\YASH\TradeWise\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"c:\Users\YASH\TradeWise\backend\run.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 3, 14
"c:\Users\YASH\TradeWise\backend\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\YASH\TradeWise\backend\tests\conftest.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 13, 35, 136
"c:\Users\YASH\TradeWise\backend\tests\test_admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 191, 8, 38, 237
"c:\Users\YASH\TradeWise\backend\tests\test_auth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 5, 19, 154
